14 八月 2020 17:28:00,511 INFO  [main] (org.apache.curator.framework.imps.CuratorFrameworkImpl.start:235)  - Starting
14 八月 2020 17:28:09,768 INFO  [main-SendThread(192.168.186.100:2181)] (org.apache.zookeeper.ClientCnxn$SendThread.logStartConnect:1032)  - Opening socket connection to server 192.168.186.100/192.168.186.100:2181. Will not attempt to authenticate using SASL (unknown error)
14 八月 2020 17:28:09,768 INFO  [main-SendThread(192.168.186.100:2181)] (org.apache.zookeeper.ClientCnxn$SendThread.primeConnection:876)  - Socket connection established to 192.168.186.100/192.168.186.100:2181, initiating session
14 八月 2020 17:28:09,769 INFO  [main-SendThread(192.168.186.100:2181)] (org.apache.zookeeper.ClientCnxn$SendThread.onConnected:1299)  - Session establishment complete on server 192.168.186.100/192.168.186.100:2181, sessionid = 0x173e6cd2ea3002a, negotiated timeout = 30000
14 八月 2020 17:28:09,770 INFO  [main-EventThread] (org.I0Itec.zkclient.ZkClient.processStateChanged:713)  - zookeeper state changed (SyncConnected)
17 八月 2020 14:41:29,690 INFO  [main] (org.apache.flume.api.ThriftRpcClient$ClientWrapper.<init>:374)  - Using TCompactProtocol
17 八月 2020 14:48:14,230 INFO  [main] (org.apache.flume.api.ThriftRpcClient$ClientWrapper.<init>:374)  - Using TCompactProtocol
17 八月 2020 14:56:46,563 INFO  [main] (org.apache.flume.api.ThriftRpcClient$ClientWrapper.<init>:374)  - Using TCompactProtocol
17 八月 2020 15:12:52,281 INFO  [main] (org.apache.flume.api.ThriftRpcClient$ClientWrapper.<init>:374)  - Using TCompactProtocol
17 八月 2020 15:21:48,305 INFO  [main] (org.apache.flume.api.ThriftRpcClient$ClientWrapper.<init>:374)  - Using TCompactProtocol
17 八月 2020 15:39:13,569 INFO  [main] (org.apache.flume.api.ThriftRpcClient$ClientWrapper.<init>:374)  - Using TCompactProtocol
17 八月 2020 15:43:31,957 INFO  [main] (org.apache.flume.api.ThriftRpcClient$ClientWrapper.<init>:374)  - Using TCompactProtocol
17 八月 2020 15:49:53,839 INFO  [main] (org.apache.flume.api.ThriftRpcClient$ClientWrapper.<init>:374)  - Using TCompactProtocol
